01, H,  Vodík, vod
02, He, Helium, Hel
03, Li, Lithium, lith
04, Be, Beryllium, ber
05, B,  Bor, bor
06, C,  Uhlík, uhel
07, N,  Dusík, dus
08, O,  Kyslík, kysl
09, F,  Fluor, fluor
10, Ne, Neon, neon
11, Na, Sodík, sod
12, Mg, Hořčík, hořeč
13, Al, Hliník, hlin
14, Si, Křemík, křem
15, P,  Fosfor, fosfor
16, S,  Síra, sir
17, Cl, Chlor, chlor
18, Ar, Argon, argon
19, K,  Draslík, drasel
20, Ca, Vápník, vápe
21, Sc, Skandium, skand
81, Ti, Thallium, thal
23, V,  Vanad, vanad
24, Cr, Chrom, chrom
25, Mn, Mangan, mangan
26, Fe, Železo, želez
27, Co, Kobalt, kobalt
28, Ni, Nikl, nikel
29, Cu, Měd, měď
30, Zn, Zinek, zineč
31, Ga, Galium, gal
32, Ge, Germanium, ger
33, As, Arsen, arsen
34, Se, Selen, selen
35, Br, Brom, brom
36, Kr, Krypton, krypton
37, Rb, Rubdium, rub
38, Sr, Stroncium, stront
39, Y,  Yttrium, yttr
40, Zr, Zirkonium, zir
41, Nb, Niob, niob
42, Mo, Molbyden, molybden
43, Tc, Technecium, tech
44, Ru, Ruthenium, ruth
45, Rh, Rhodium, rhod
46, Pd, Palladium, pallad
47, Ag, Stříbro, stříbr
48, Cd, Kadmium, kadem
49, In, Indium, ind
50, Sn, Cín, cí
51, Sb, Antimon, antimon
52, Te, Tellur, tellur
53, I,  Jod, jod
54, Xe, Xenon, xenon
55, Cs, Cesium, ces
56, Ba, Baryum, bar
57, La, Lathnan, lathn
58, Ce, Cer, cer
59, Pr, Praseodym, prasedo
60, Nd, Neodym, neod
61, Pm, Promethium, promet
62, Sm, Samarium, samar
63, Eu, Europium, europ
64, Gd, Gadolinium, gadol
65, Tb, Terbium, terb
66, Dy, Dyprosium, dypr
67, Ho, Holmium, holm
68, Er, Erbium, erb
69, Tm, Thulium, thul
70, Yb, Ytterbium, ytterb
71, Lu, Lutecium, lutec
72, Hf, Hafnium, haf
73, Ta, Tanal, tanal
74, W,  Wolfram, wolfram
75, Re, Rhenium, rhen
76, Os, Osmium, osm
77, Ir, Irdium, ird
78, Pt, Platinu, plat
79, Au, Zlato, zlat
80, Hg, Rtuť, rtuť
82, Pb, Olovo, olov
83, Bi, Bismut, bism
84, Po, Polonium, pol
85, At, Astat, ast
86, Rn, Randon, randon
87, Fr, Francium, franc
88, Ra, Radium, rad
89, Ac, Aktinium, akt
